Nombre,Brand,Link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Cerveza Premium framboise 250 cc,St Louis,https://www.jumbo.cl/cerveza-premium-framboise-250-cc/p,,$2.390,,Código: 1823798,"St. Louis Framboise es una cerveza afrutada de fermentación espontánea, de estilo lambic, con una graduación de 2,8%. Una cerveza suave, dulce y muy refrescante debido a los azúcares naturales de las frambuesas procedentes de Willamette",https://jumbo.vtexassets.com/arquivos/ids/362735-750-750?width=750&height=750&aspect=true
Cerveza ámbar botella 330 cc,+56,https://www.jumbo.cl/cerveza-artesanal-56-ambar-330-ml/p,,$2.100,,Código: 1686793,"Cerveza color ámbar, con cuerpo medio, aromas frutales y cítricos gracias al proceso de dry hopping: dulzor procedente de la malta caramelo, leve amargor y suave espuma.",https://jumbo.vtexassets.com/arquivos/ids/373119-750-750?width=750&height=750&aspect=true
Cerveza kristall botella 500 cc,Schöfferhofer,https://www.jumbo.cl/cerveza-sch-fferhofer-500-ml-kristall/p,,$2.300,,Código: 1552233,"La levadura le da vida a cada botella acondicionándola, garantiza un sabor afrutado fresco. El sedimento de levadura también conduce a la turbidez de ésta cerveza.",https://jumbo.vtexassets.com/arquivos/ids/422418-750-750?width=750&height=750&aspect=true
Cerveza sin filtrar 350cc,Volcanes del Sur,https://www.jumbo.cl/cerveza-del-sur-sin-filtrar-350-ml/p,,$1.500,,Código: 1845576,"Una cerveza lager rubia, que hace honor al milenario método artesanal de elaboración y fermentación. Muy bien equilibrada, suave y de blanca y cremosa espuma.",https://jumbo.vtexassets.com/arquivos/ids/363432-750-750?width=750&height=750&aspect=true
Pack 4 un. Cerveza Lager Pilsen 4.0° botella 330 cc,Mestra,https://www.jumbo.cl/pack-4-unid-cerveza-mestra-lager-pilsen-4-9-botella-330-cc-c-u/p,,$5.490,,Código: 1667612-PAK,"Cerveza refrescante y de cuerpo ligero, ofrece suaves aromas a lúpulo, espuma cremosa y una carbonatación adecuada.",https://jumbo.vtexassets.com/arquivos/ids/423126-750-750?width=750&height=750&aspect=true
Cerveza Doble Malta lata 473 cc,Becker,https://www.jumbo.cl/cerveza-becker-dm-lata-473cc-1881053/p,,$750,,Código: 1881053,Cerveza Becker con su lata DM en un formato de 473 cc. Ideal para una tarde calurosa o pasar un buen rato con los amigos.,https://jumbo.vtexassets.com/arquivos/ids/434060-750-750?width=750&height=750&aspect=true
Pack 4 un. Cerveza Turbinator 8° botella 333 cc,Tubinger,https://www.jumbo.cl/cerv-turbinator-nga-8-bot-333cc-x4-1058142-pak/p,,$5.950,,Código: 1058142-PAK,"Tübinator es una cerveza negra de reflejos rubíes y espuma blanca de notas a ciruelas, pasas al ron, almendra, cacao y café, con un intenso dulzor de malta caramelo y tostada. Hecha al estilo """"Winterwarmer"""" que se elabora en Inglaterra para sobrellevar el frío del invierno.
Medalla de bronce en el Brussels Beer Challenge 2019""",https://jumbo.vtexassets.com/arquivos/ids/430912-750-750?width=750&height=750&aspect=true
Pack 4 un. Cerveza sin alcohol botella 330 cc,Kunstmann,https://www.jumbo.cl/pack-de-cervezas-kunstman-s-alcohol-330-cc/p,,$6.590,,Código: 263612-PAK,"Cerveza Kunstmann de 330 ml de estilo large sin alcohol, elaborada con malta de cebada rubia y caramelo. Cerveza en presentación de botella individual.",https://jumbo.vtexassets.com/arquivos/ids/409634-750-750?width=750&height=750&aspect=true
Cerveza Helles 4.8° botella 330 cc,Dithmarscher,https://www.jumbo.cl/cerveza-dithmarscher-330-ml-pils-hell-4-8-jumbo-importado/p,,$1.699,,Código: 1097199,El agua suave Geest y los lúpulos de aroma noble le dan a Dithmarscher Pilsener ligeramente picante su carácter inconfundible. Refinado con ácido carbónico agradablemente fresco.,https://jumbo.vtexassets.com/arquivos/ids/180711-750-750?width=750&height=750&aspect=true
Cerveza Yuta 5.6° 300 cc,La Montaña,https://www.jumbo.cl/cerv-la-montana-yuta-300cc-5-6gt-1866848/p,,$1.890,,,,
Cerveza Alhambra Reserva 1925 botella 330 cc,Mahou,https://www.jumbo.cl/cerveza-mahou-alhambra-reserva-1925-330-cc/p,,$1.490,,Código: 1603574,"De carácter intenso, Alhambra Reserva 1925 es nuestra reinterpretación del estilo Pilsen Bohemia, elaborada con ‘Saaz’, una de las variedades de lúpulo aromático más exclusivas, que le aportan a nuestra cerveza sus característicos aromas florales. Una cerveza para disfrutar la vida a través de los detalles",https://jumbo.vtexassets.com/arquivos/ids/288411-750-750?width=750&height=750&aspect=true
Cerveza 5 Estrellas 330 cc,Mahou,https://www.jumbo.cl/cerveza-mahou-5-estrellas-botella-300-cc/p,,$990,,Código: 1613672,"Elaborada con las mejores variedades de lúpulo y levadura, destaca por su color dorado y su característico sabor moderado. El resultado: un buen balance gustativo que persiste en el paladar.",https://jumbo.vtexassets.com/arquivos/ids/233488-750-750?width=750&height=750&aspect=true
Cerveza export lata 330 cc,Paderborner,https://www.jumbo.cl/cerveza-poderborner-330-ml-alemana-export/p,,$899,,Código: 425815,La cerveza Export es un producto de  perfecta relación entre precio y calidad. Una cerveza sabrosa y suave.,https://jumbo.vtexassets.com/arquivos/ids/398284-750-750?width=750&height=750&aspect=true
