Nombre,Brand,Title_link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Papas fritas Stax original 134 g,Lays,https://www.jumbo.cl/papas-fritas-stax-original-134-g/p,,,,Código: 1819825,Nada se compara con el sabor intemporal de las papas fritas Lay's stax original. Esta crujiente patata crujiente te brinda el sabor completo que estabas buscando. Tus papilas gustativas te lo agradecerán.,https://jumbo.vtexassets.com/arquivos/ids/444428-750-750?width=750&height=750&aspect=true
Papas fritas Stax crema y cebolla 134 g,Lays,https://www.jumbo.cl/papas-fritas-stax-sour-cream-134-g/p,,,,Código: 1819826,Nada se compara con el sabor intemporal de las papas fritas Lay's stax sabor crema y cebolla. Esta crujiente patata crujiente te brinda el sabor completo que estabas buscando. Tus papilas gustativas te lo agradecerán.,https://jumbo.vtexassets.com/arquivos/ids/410411-750-750?width=750&height=750&aspect=true
Papas fritas Artesanas 185 g,Lays,https://www.jumbo.cl/papas-fritas-lay-s-artesanales-c-sal-185-g/p,,,,Código: 1723090,"Papas fritas Lay's artesanas con sal de mar y contenido de 185 g están tan cuidadosamente seleccionadas, cocidas, gruesas, doraditas y crujientes, que parecerán hechas en casa con su gran sabor. Ideales para picotear ¡Qué esperas para disfrutarlas cuanto antes!",https://jumbo.vtexassets.com/arquivos/ids/468087-750-750?width=750&height=750&aspect=true
Papas fritas Artesanas 270 g,Lays,https://www.jumbo.cl/papas-fritas-lay-s-artesanas-sal-270-gr/p,,,,Código: 1821017,"Papas fritas Lay's cuidadosamente seleccionadas, cocidas lentamente, tan gruesas, doraditas y crujientes que parecerán hechas en casa.",https://jumbo.vtexassets.com/arquivos/ids/342078-750-750?width=750&height=750&aspect=true
Papas fritas original 130 g,Kryzpo,https://www.jumbo.cl/papas-fritas-kryzpo-140-g-sabor-original/p,,,,Código: 1578086,"El formato favorito de los kryzpoadictos porque de aquí pueden comer todos, aunque también existen algunos que no las comparten con nadie y no los culpamos.",https://jumbo.vtexassets.com/arquivos/ids/438688-750-750?width=750&height=750&aspect=true
Papas fritas original 260 g,Kryzpo,https://www.jumbo.cl/papasfritas-kryzpo-original280g/p,,,,Código: 1615845,"El formato favorito de los kryzpoadictos porque de aquí pueden comer todos, aunque también existen algunos que no las comparten con nadie y no los culpamos.",https://jumbo.vtexassets.com/arquivos/ids/438693-750-750?width=750&height=750&aspect=true
Papas fritas rústicas sabor merkén 185 g,Marco Polo,https://www.jumbo.cl/papas-fritas-marco-polo-rusticas-merquen-200-g-2/p,,,,Código: 1647863,Papas fritas rústicas Marco Polo sabor Merkén. Crujientes y sabrosas ideal para compartir en un picoteo o fiesta.,https://jumbo.vtexassets.com/arquivos/ids/416022-750-750?width=750&height=750&aspect=true
Papa nativa chiloé Tika 55 g,Tika,https://www.jumbo.cl/papa-nativa-chiloe-tika-55-g/p,,,,Código: 1663822,,https://jumbo.vtexassets.com/arquivos/ids/429646-750-750?width=750&height=750&aspect=true
Papas Fritas Primor Bolsa 230 grs.,Primor,https://www.jumbo.cl/papas-fritas-primor-bolsa-230-grs/p,,,,Código: 271733,Papas fritas estilo caseras con un gran sabor para compartir y disfrutar en ocasiones especiales o simplemente viendo una pelicula con un snack de calidad.,https://jumbo.vtexassets.com/arquivos/ids/446102-750-750?width=750&height=750&aspect=true
"Papas fritas Boulder Vinagre, Sal, 142 g",Boulder,https://www.jumbo.cl/papas-fritas-boulder-vinagre-sal-142-g/p,,,,Código: 1232072,"¡Un favorito de sabor totalmente natural! Estas papas fritas no tienen grasas trans ni colesterol, lo que las convierte en la alternativa más saludable sin que les falte sabor.",https://jumbo.vtexassets.com/arquivos/ids/371810-750-750?width=750&height=750&aspect=true
"Papas Fritas Boulder Parmesano, Ajo, 142 grs.",Boulder,https://www.jumbo.cl/papas-fritas-boulder-parmesano-ajo-142-grs/p,,,,Código: 1232073,"Papas Fritas con toques de ajo, Un snack de sabor totalmente natural sin grasas trans y sin gluten.",https://jumbo.vtexassets.com/arquivos/ids/371817-750-750?width=750&height=750&aspect=true
Papas fritas original 190 g,Kryzpo,https://www.jumbo.cl/papas-fritas-kryzpo-original-190-gr-1880242/p,,,,Código: 1880242,"¡Qué crujientes que son! Las papas fritas Kryzpo son tan ricas que no puedes compartir ni una sola, aunque vengan en formato familiar.",https://jumbo.vtexassets.com/arquivos/ids/437457-750-750?width=750&height=750&aspect=true
"Papas fritas Boulder Barbecue, 142 g",Boulder,https://www.jumbo.cl/papas-fritas-boulder-barbecue-142-g/p,,,,Código: 1232071,"Papas Fritas BBQ Boulder Canyon Hickory, crujientes y de sabor ahumado, sin grasas trans, sin colesterol y sin gluten.",https://jumbo.vtexassets.com/arquivos/ids/417634-750-750?width=750&height=750&aspect=true
"Papas Fritas Boulder Natural, 142 g",Boulder,https://www.jumbo.cl/papas-fritas-boulder-natural-142-grs/p,,,,Código: 1232070,"La clásica patata frita con sal marina mejorada. Todo natural, sin grasas trans ni colesterol. Totalmente sin gluten y un favorito de la multitud.",https://jumbo.vtexassets.com/arquivos/ids/371811-750-750?width=750&height=750&aspect=true
Papas fritas cebolla 37 g,Kryzpo,https://www.jumbo.cl/papas-fritas-sabor-crema-cebolla-kryzpo-40-g/p,,,,Código: 1567602,Un formato personal e intransferible el favorito de los egoístas. Eso significa que las kryzpo son tan ricas que no puedes compartir ni una sola.,https://jumbo.vtexassets.com/arquivos/ids/438686-750-750?width=750&height=750&aspect=true
